Round,AI Rank,State,Institute,Course,Quota,Category
0,1464,Chhattisgarh,"AIIMS, Raipur",PSYCHIATRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1476,Jammu and Kashmir,"AIIMS, Jammu",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1484,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1486,Chhattisgarh,"AIIMS, Raipur",PATHOLOGY,AIIMS-All India,UR
0,1490,Assam,"AIIMS, Guwahati",ORTHOPAEDICS,AIIMS-All India,OBC
0,1492,Chhattisgarh,"AIIMS, Raipur",RADIATION ONCOLOGY,AIIMS-All India,OBC
0,1493,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ORTHOPAEDICS,AIIMS-All India,OBC
0,1509,Gujarat,"AIIMS, Rajkot",FAMILY MEDICINE,AIIMS-All India,UR
0,1514,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,1517,Chhattisgarh,"AIIMS, Raipur",FAMILY MEDICINE,AIIMS-All India,OBC
0,1527,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1529,Gujarat,"AIIMS, Rajkot",OPHTHALMOLOGY,AIIMS-All India,OBC
0,1530,West Bengal,"AIIMS, Kalyani",PATHOLOGY,AIIMS-All India,UR
0,1539,Punjab,"AIIMS, Bathinda",OPHTHALMOLOGY,AIIMS-All India,EWS
0,1540,West Bengal,"AIIMS, Kalyani",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1545,Delhi,"AIIMS, Delhi",ANATOMY,AIIMS-All India,UR
0,1556,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1568,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1572,Jharkhand,"AIIMS, Deoghar",PATHOLOGY,AIIMS-All India,UR
0,1585,Jammu and Kashmir,"AIIMS, Jammu",OPHTHALMOLOGY,AIIMS-All India,OBC
0,1596,West Bengal,"AIIMS, Kalyani",PATHOLOGY,AIIMS-All India,UR
0,1601,Bihar,"AIIMS, Patna",PSYCHIATRY,AIIMS-All India,OBC
0,1604,Chhattisgarh,"AIIMS, Raipur",IHBT,AIIMS-All India,UR
0,1606,Jharkhand,"AIIMS, Deoghar",ENT,AIIMS-All India,OBC
0,1610,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1611,Odisha,"AIIMS, Bhubaneswar",HOSPITAL ADMINISTRATION,AIIMS-All India,UR
0,1617,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1618,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,EWS
0,1619,Gujarat,"AIIMS, Rajkot",ENT,AIIMS-All India,OBC
0,1624,Chandigarh,"PGIMER, Chandigarh",COMMUNITY MEDICINE,PGIMER-All India,OBC
0,1628,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,AIIMS-All India,SC
0,1630,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,EWS
