Round,AI Rank,State,Institute,Course,Quota,Category
0,7421,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7462,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7465,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7519,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ENT,AIIMS-All India,SC
0,7528,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",TRAUMATOLOGY AND SURGERY,AIIMS-All India,SC
0,7606,Chhattisgarh,"AIIMS, Raipur",OPHTHALMOLOGY,AIIMS-All India,SC
0,7607,Assam,"AIIMS, Guwahati",ANATOMY,AIIMS-All India,OBC
0,7685,Rajasthan,"AIIMS, Jodhpur",OBG,AIIMS-All India,ST
0,7698,Uttar Pradesh,"AIIMS, Rai Bareli",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7760,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7793,Madhya Pradesh,"AIIMS, Bhopal",PSYCHIATRY,AIIMS-All India,SC
0,7846,Telangana,"AIIMS, Bibinagar",PHYSIOLOGY,AIIMS-All India,OBC
0,7862,Assam,"AIIMS, Guwahati",ANATOMY,AIIMS-All India,OBC
0,7883,Assam,"AIIMS, Guwahati",OPHTHALMOLOGY,AIIMS-All India,SC
0,7888,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIPMER-All India,SC
0,7896,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PSYCHIATRY,AIIMS-All India,SC
0,7925,Telangana,"AIIMS, Bibinagar",ANATOMY,AIIMS-All India,OBC
0,7933,Uttar Pradesh,"AIIMS, Gorakhpur",COMMUNITY & FAMILY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8019,Rajasthan,"AIIMS, Jodhpur",MICROBIOLOGY,AIIMS-All India,EWS
0,8049,Bihar,"AIIMS, Patna",BIOCHEMISTRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8089,Punjab,"AIIMS, Bathinda",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8090,Andhra Pradesh,"AIIMS, Mangalagiri",ANATOMY,AIIMS-All India,OBC
0,8117,Uttar Pradesh,"AIIMS, Rai Bareli",PSYCHIATRY,AIIMS-All India,SC
0,8123,Uttarakhand,"AIIMS, Rishikesh",TRAUMASURG&CC (6 YRS),AIIMS-Inst. Pref,UR-AIIMS-IP
0,8279,Odisha,"AIIMS, Bhubaneswar",PHYSIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8281,Jharkhand,"AIIMS, Deoghar",PHYSIOLOGY,AIIMS-All India,OBC
0,8318,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,ST
0,8336,Maharashtra,"AIIMS, Nagpur",ANATOMY,AIIMS-All India,OBC
0,8339,Chhattisgarh,"AIIMS, Raipur",PHARMACOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8405,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,AIIMS-All India,SC
0,8419,Punjab,"AIIMS, Bathinda",PAEDIATRICS,AIIMS-All India,ST
0,8434,Delhi,"AIIMS, Delhi",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8446,Jharkhand,"AIIMS, Deoghar",ANATOMY,AIIMS-All India,OBC
0,8462,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,AIIMS-All India,SC
0,8472,Bihar,"AIIMS, Patna",OBG,AIIMS-All India,ST
0,8483,Odisha,"AIIMS, Bhubaneswar",PMR,AIIMS-All India,SC
0,8547,West Bengal,"AIIMS, Kalyani",ANATOMY,AIIMS-All India,OBC
0,8633,Gujarat,"AIIMS, Rajkot",ANATOMY,AIIMS-All India,EWS
0,8687,Uttar Pradesh,"AIIMS, Gorakhpur",FORENSIC MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8725,West Bengal,"AIIMS, Kalyani",ANATOMY,AIIMS-All India,OBC
0,8736,Delhi,"AIIMS, Delhi",PSYCHIATRY,AIIMS-All India,ST
0,8759,Madhya Pradesh,"AIIMS, Bhopal",MICROBIOLOGY,AIIMS-All India,EWS
0,8781,Uttarakhand,"AIIMS, Rishikesh",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8806,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8822,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,AIIMS-All India,SC
0,8825,Chhattisgarh,"AIIMS, Raipur",PSYCHIATRY,AIIMS-All India,ST
0,8826,Bihar,"AIIMS, Patna",ANATOMY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8832,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,JIPMER-All India,ST
0,8840,Pondicherry,"JIPMER, Puducherry",PSYCHIATRY,JIPMER-All India,ST
0,8854,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR-PwD
0,8862,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,SC
0,8904,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,JIPMER-All India,SC
0,8921,Jharkhand,"AIIMS, Deoghar",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8923,Telangana,"AIIMS, Bibinagar",PATHOLOGY,AIIMS-All India,SC
0,9011,Chhattisgarh,"AIIMS, Raipur",GENERAL SURGERY,AIIMS-All India,ST
0,9020,Punjab,"AIIMS, Bathinda",GENERAL SURGERY,AIIMS-All India,ST
0,9040,Maharashtra,"AIIMS, Nagpur",OBG,AIIMS-All India,ST
0,9166,Jammu and Kashmir,"AIIMS, Jammu",NEUROSURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,9215,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,ST
0,9267,Jammu and Kashmir,"AIIMS, Jammu",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,9287,Andhra Pradesh,"AIIMS, Mangalagiri",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,9292,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,AIIMS-All India,ST
0,9329,Gujarat,"AIIMS, Rajkot",FAMILY MEDICINE,AIIMS-All India,SC
0,9335,Uttarakhand,"AIIMS, Rishikesh",PHYSIOLOGY,AIIMS-All India,EWS
0,9348,Jharkhand,"AIIMS, Deoghar",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,9378,Madhya Pradesh,"AIIMS, Bhopal",IHBT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,9398,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-All India,SC
