Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,ST,Tamil Nadu,"Chengalpattu Medical College, Chengalpattu",MD DERMATOLOGY,50000,25879 (1),32954 (1),38985 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Madhya Pradesh,"District Hospital, Gwalior",Diploma in OBG - DGO (NBEMS),125000,25927 (1),25927 (1),33913 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Tamil Nadu,"Stanley Medical College, Chennai",MS ENT,50000,25945 (1),32144 (1),28062 (1),38409 (1),-,18266 (1),22572 (1),-,-,-,,,
DNB Quota,SC,Punjab,"SBLS Civil Hospital, Jalandhar",DNB GENERAL MEDICINE,125000,25947 (1),29297 (1),29638 (1),33481 (1),-,-,-,-,-,-,,,
DNB Quota,Open,Uttar Pradesh,"Raja Pratap Bahadur Hospital (Dr. Sonelal Patel State Medical College), Pratapgarh",Diploma in OBG - DGO (NBEMS),125000,25986 (1),25986 (1),25986 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Maharashtra,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha",MD FORENSIC MEDICINE,286860,26018 (1),62101 (1),89079 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Uttar Pradesh,"Balrampur Hospital, Lucknow",Diploma in TB & CHEST DISEASE - DTCD (NBEMS),125000,26055 (1),26055 (1),26055 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Punjab,"Guru Govind Singh Medical College, Faridkot",MD PATHOLOGY,125000,26082 (1),32645 (1),33963 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Rajasthan,"SMS Medical College, Jaipur",MD TROPICAL MEDICINE,10982,26091 (1),48748 (1),50568 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Kerala,"Government Medical College, Kottayam",MD BIOCHEMISTRY,69470,26100 (1),53110 (1),64146 (1),-,-,-,-,-,-,-,,,
DNB Quota,OBC,Uttar Pradesh,"Maharaja Suhel Dev Medical College & Mahrishi Balark Hospital, Bahraich",Diploma in OBG - DGO (NBEMS),125000,26130 (1),24531 (1),24531 (1),-,-,-,-,-,-,-,,,
All India Quota,ST,Tamil Nadu,"Madurai Medical College, Madurai",MD GENERAL MEDICINE,50000,26143 (1),26143 (1),31607 (1),-,-,25946 (1),30185 (1),-,-,-,,,
All India Quota,OBC,Tamil Nadu,"Madras Medical College, Chennai",MD FORENSIC MEDICINE,50000,26220 (1),34197 (1),38670 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Andhra Pradesh,"ACSR Government Medical College, Nellore",MD PSYCHIATRY,15375,26225 (2),28953 (2),30268 (2),34050 (1),-,-,-,-,-,-,,,
All India Quota,EWS,West Bengal,"Bankura Sammilani Medical College, Bankura",MD ANAESTHESIOLOGY,12000,26227 (1),30272 (1),33503 (1),-,-,21651 (1),23772 (1),30872 (1),34807 (1),-,,,
DNB Quota,EWS,Delhi,"ESI Hospital, Jhilmil",Diploma in PAEDIATRICS - DCH (NBEMS),125000,26242 (1),22383 (1),22383 (1),-,-,-,-,-,-,-,,,
DNB Quota,OBC,Karnataka,"District Hospital, Haveri",Diploma in PAEDIATRICS - DCH (NBEMS),125000,26243 (1),30530 (1),33014 (1),-,-,25460 (1),27060 (1),-,-,-,,,
DNB Quota,Open,Karnataka,"Manipal Hospital Whitefield, Hobli, Bangalore",Diploma in OBG - DGO (NBEMS),125000,26255 (2),26051 (2),29598 (2),-,-,22421 (2),28239 (2),22739 (1),-,-,,,
All India Quota,SC,Uttar Pradesh,"Rajkiya Medical College, Jalaun, Orai",MS GENERAL SURGERY,40000,26266 (1),28815 (1),32786 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Madhya Pradesh,"MGM Medical College, Indore",MD PSYCHIATRY,101500,26293 (1),32109 (1),32109 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Tamil Nadu,"Thanjavur Medical College, Thanjavur",MS ENT,50000,26297 (1),24986 (1),30591 (1),-,-,-,-,-,-,-,,,
DNB Quota,SC,West Bengal,"Diamond Harbour Government Medical College & Hospital, Harindanga",Diploma in RADIO DIAGNOSIS - DMRD (NBEMS),125000,26322 (1),26322 (1),-,-,-,-,-,-,-,-,,,
All India Quota,SC,Maharashtra,"Dr. Shankarrao Chavan Government Medical College, Nanded",MS GENERAL SURGERY,143300,26335 (1),28254 (1),29207 (1),-,-,-,-,-,-,-,,,
DNB Quota,SC,Chhattisgarh,"JLN Main Hospital & Research Centre, Bhilai",DNB GENERAL MEDICINE,125000,26336 (1),26336 (1),26336 (1),-,-,22228 (1),23465 (1),-,-,-,,,
DNB Quota,SC,Delhi,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",DNB OBG,125000,26344 (1),28699 (1),30407 (1),-,-,23929 (1),23929 (1),28235 (1),-,-,,,
DNB Quota,ST,Maharashtra,"Dr. RN Cooper Municipal General Hospital, Mumbai",DNB DERMATOLOGY,125000,26353 (1),26353 (1),35408 (1),-,-,-,-,-,-,-,,,
All India Quota,ST,Tamil Nadu,"Coimbatore Medical College, Coimbatore",MD GENERAL MEDICINE,50000,26367 (1),28231 (1),45272 (1),-,-,27312 (1),29709 (1),-,-,-,,,
All India Quota,Open,Manipur,"Regional Institute of Medical Sciences, Imphal",MD MICROBIOLOGY,20800,26403 (2),60610 (2),51981 (2),-,-,-,-,-,-,-,,,
All India Quota,SC,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur",MS OBG,22200,26417 (1),30424 (1),34471 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Kerala,"Regional Cancer Centre, Thiruvananthapuram",MD ANAESTHESIOLOGY,300000,26445 (1),28225 (1),28225 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Rajasthan,"Government Medical College, Kota",MD PSYCHIATRY,12812,26469 (1),26469 (1),26469 (1),-,-,20416 (1),20416 (1),-,-,-,,,
All India Quota,SC,Punjab,"Government Medical College, Patiala",MS ENT,125000,26479 (1),31263 (1),31263 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Tamil Nadu,"Coimbatore Medical College, Coimbatore",MD PHARMACOLOGY,50000,26510 (1),27732 (1),27732 (1),-,-,28332 (1),26456 (1),-,-,-,,,
IPU,OBC,Delhi,"ESI PGIMSR & ESI Hospital, Basaidarapur, New Delhi",MD PAEDIATRICS,250000,26553 (1),26553 (1),34407 (1),-,-,27333 (1),27333 (1),-,-,-,,,
All India Quota,OBC,Tamil Nadu,"Rajah Muthiah Medical College, Annamalainagar",MD COMMUNITY MEDICINE,50000,26567 (1),29496 (1),29496 (1),-,-,22746 (1),27537 (1),33362 (1),-,-,,,
DNB Quota,EWS,Uttar Pradesh,"Government Medical College, Badaun",Diploma in PAEDIATRICS - DCH (NBEMS),125000,26609 (1),29163 (1),29163 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Jammu & Kashmir,"Government Medical College, Anantnag",Diploma in OBG - DGO (NBEMS),125000,26656 (1),27617 (1),21666 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi",DNB ANAESTHESIOLOGY,125000,26690 (1),29650 (1),29650 (1),-,-,17985 (1),27379 (1),-,-,-,,,
All India Quota,SC,Madhya Pradesh,"Government Medical College, Datia",MS GENERAL SURGERY,101500,26742 (1),31911 (1),34384 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Maharashtra,"Shree Markendey Solapur Sahakari Rugnalya & Research Centre, Solapur",DNB ANAESTHESIOLOGY,125000,26753 (1),30800 (1),33015 (1),-,-,22459 (1),26920 (1),30240 (1),30623 (1),36865 (1),,,
All India Quota,SC,Goa,"Goa Medical College, Panaji",MD PSYCHIATRY,122522,26767 (1),26767 (1),26767 (1),-,-,-,-,30582 (1),-,-,,,
All India Quota,SC,Telangana,"Government Medical College, Nizamabad",MS ORTHOPAEDICS,25000,26788 (1),29166 (1),32458 (1),-,-,-,-,-,-,-,,,
DNB Quota,OBC,Odisha,"Capital Hospital, Bhubaneswar",Diploma in TB & CHEST DISEASE - DTCD (NBEMS),125000,26803 (1),40452 (1),40452 (1),-,-,28663 (1),32770 (1),29211 (1),-,-,,,
All India Quota,ST,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",MD PAEDIATRICS,143300,26805 (1),32872 (1),39137 (1),-,-,-,-,-,-,-,,,
DNB Quota,ST,Delhi,"Hindu Rao Hospital, Delhi",DNB GENERAL MEDICINE,125000,26813 (1),26813 (1),39468 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Karnataka,"Karwar Institute of Medical Sciences, Karwar",MS GENERAL SURGERY,124150,26819 (1),27972 (1),31619 (1),43577 (1),43786 (1),-,-,-,-,-,,,
All India Quota,SC,Andhra Pradesh,"Government Medical College, Kadapa",MS OPHTHALMOLOGY,15375,26825 (1),31645 (1),38695 (1),-,-,27961 (1),33673 (1),-,-,-,,,
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD COMMUNITY MEDICINE,143300,26858 (2),34346 (2),33975 (2),49529 (1),-,-,-,-,-,-,,,
DNB Quota,SC,Haryana,"BPS Government Medical College for Women, Sonepat",DNB GENERAL SURGERY,125000,26867 (1),37288 (1),37864 (1),-,-,27032 (1),32874 (1),36300 (1),-,-,,,
All India Quota,ST,Kerala,"Government Medical College, Kozhikode",MS GENERAL SURGERY,69470,26869 (1),26869 (1),26869 (1),-,-,-,-,-,-,-,,,
DNB Quota,EWS,Gujarat,"Sheth Vadilal Sarabhai General Hospital & Sheth Chinai Prasuti Hospital, Ahmedabad",DNB ANAESTHESIOLOGY,125000,26874 (1),28691 (1),28691 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Uttar Pradesh,"SN Medical College, Agra",MS ENT,40000,26915 (1),33240 (1),34583 (1),-,-,-,-,-,-,-,,,
DNB Quota,OBC,Bihar,"Sadar Hospital, Motihari",Diploma in OBG - DGO (NBEMS),125000,26916 (1),24478 (1),36803 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Tamil Nadu,"Kilpauk Medical College, Chennai",MD PATHOLOGY,50000,26925 (1),49157 (1),49157 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Punjab,"Civil Hospital, Hoshiarpur",Diploma in PAEDIATRICS - DCH (NBEMS),125000,26976 (1),33380 (1),34985 (1),25934 (1),39707 (1),-,-,-,-,-,,,
All India Quota,ST,Andhra Pradesh,"Rangaraya Medical College, Kakinada",MD PAEDIATRICS,15375,27013 (1),28609 (1),28609 (1),-,-,14941 (1),17784 (1),-,-,-,,,
All India Quota,Open,Karnataka,"Karnataka Institute of Medical Sciences, Hubballi",MD COMMUNITY MEDICINE,69150,27039 (1),41780 (1),41780 (1),61882 (1),22607 (1),26945 (1),32758 (1),56515 (1),-,-,,,
All India Quota,ST,Delhi,"VP Chest Institute of Medical Sciences, Delhi",MD PULMONARY MEDICINE,57600,27041 (1),39005 (1),44788 (1),-,-,-,-,-,-,-,,,
All India Quota,SC,Uttar Pradesh,"SN Medical College, Agra",MD PSYCHIATRY,40000,27071 (1),32985 (1),36954 (1),-,-,-,-,-,-,-,,,
All India Quota,ST,Rajasthan,"Dr. SN Medical College, Jodhpur",MD DERMATOLOGY,12812,27091 (1),27091 (1),29737 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Karnataka,"ESIC Medical College, Bangalore",MD PATHOLOGY,250000,27094 (1),34487 (1),34487 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Chhattisgarh,"Chhattisgarh Institute of Medical Sciences, Bilaspur",MD MICROBIOLOGY,20000,27097 (1),78676 (1),78676 (1),-,-,-,-,-,-,-,,,
All India Quota,Open,Tamil Nadu,"Kilpauk Medical College, Chennai",MD PHARMACOLOGY,50000,27098 (1),27098 (1),40092 (1),-,-,13751 (1),13751 (1),-,-,-,,,
DNB Quota,OBC,Karnataka,"Sub Divisional Hospital, Sagara",Diploma in PAEDIATRICS - DCH (NBEMS),125000,27104 (1),33810 (1),33810 (1),-,-,-,-,-,-,-,,,
DNB Quota,Open,Karnataka,"South Western Railway Central Hospital, Hubballi",Diploma in OBG - DGO (NBEMS),125000,27125 (1),27600 (1),34319 (1),-,-,23658 (1),26581 (1),18305 (1),-,-,,,
DNB Quota,Open,Uttar Pradesh,"Pushpanjali Hospital & Research Centre, Agra",Diploma in OBG - DGO (NBEMS),125000,27138 (2),29901 (2),31723 (2),-,-,-,-,-,-,-,,,
DNB Quota,SC,Delhi,"Deen Dayal Upadhyay Hospital, New Delhi",DNB OBG,125000,27139 (1),27139 (1),29797 (1),-,-,19322 (1),19322 (1),-,-,-,,,
DNB Quota,Open,Chhattisgarh,"District Hospital, Pandari, Raipur",Diploma in OBG - DGO (NBEMS),125000,27145 (2),25391 (2),25391 (2),-,-,-,-,-,-,-,,,
DNB Quota,Open,Maharashtra,"Khan Bahadur Bhabha Hospital, Mumbai",DNB ANAESTHESIOLOGY,125000,27161 (1),29316 (1),29924 (1),-,-,-,-,-,-,-,,,
DNB Quota,EWS,Madhya Pradesh,"Jai Prakash District Government Hospital, Bhopal",DNB FAMILY MEDICINE,125000,27168 (1),30782 (1),39257 (1),44251 (1),-,-,-,-,-,-,,,
All India Quota,Open,Tamil Nadu,"Chengalpattu Medical College, Chengalpattu",MD MICROBIOLOGY,50000,27181 (1),46014 (1),52370 (1),-,-,-,-,-,-,-,,,
All India Quota,OBC,Delhi,"ESI PGIMSR & ESI Hospital, Basaidarapur, New Delhi",MD MICROBIOLOGY,250000,27194 (1),56972 (1),53842 (1),76758 (1),76228 (1),26600 (1),50796 (1),67774 (2),76417 (1),100654 (1),,,
DNB Quota,Open,Karnataka,"District Hospital, Vijayapura",Diploma in OBG - DGO (NBEMS),125000,27217 (1),32178 (1),32178 (1),-,-,19649 (1),19649 (1),-,-,-,,,
All India Quota,SC,Maharashtra,"Government Medical College, Gondia",MS GENERAL SURGERY,143300,27227 (1),30770 (1),31345 (1),-,-,-,-,-,-,-,,,
All India Quota,EWS,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta",MD ANAESTHESIOLOGY,12000,27235 (1),30390 (1),30390 (1),-,-,22877 (1),29026 (1),-,-,-,,,
All India Quota,SC,Uttar Pradesh,"LLRM Medical College, Meerut",MD PSYCHIATRY,40000,27252 (1),31058 (1),34233 (1),-,-,-,-,-,-,-,,,
All India Quota,OBC,Tamil Nadu,"Stanley Medical College, Chennai",MD PHARMACOLOGY,50000,27265 (1),30665 (1),37472 (1),57547 (1),-,25261 (1),33362 (1),53252 (1),-,-,,,
All India Quota,ST,Maharashtra,"Government Medical College, Nagpur",MS GENERAL SURGERY,143300,27293 (1),40504 (1),40504 (1),-,-,31196 (1),35028 (1),-,-,-,,,
All India Quota,EWS,West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad",MD ANAESTHESIOLOGY,12000,27309 (1),30564 (1),34141 (1),-,23729 (1),29991 (1),-,-,-,,,,
All India Quota,SC,Kerala,"Government Medical College, Pariyaram, Kannur",MD ANAESTHESIOLOGY,69470,27314 (1),33061 (1),34891 (1),41445 (1),-,-,-,-,-,,,,
DNB Quota,OBC,Punjab,"Dr. BR Ambedkar State Institute of Medical Sciences, Mohali",DNB ANAESTHESIOLOGY,125000,27359 (1),26318 (1),31721 (1),37991 (1),-,-,-,-,-,,,,
All India Quota,SC,Karnataka,"Mandya Institute of Medical Sciences, Mandya",MS ORTHOPAEDICS,124150,27394 (1),28280 (1),34419 (1),-,17584 (1),24464 (1),-,-,-,,,,
DNB Quota,Open,Haryana,"BPS Government Medical College for Women, Sonepat",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,27399 (2),36995 (2),39023 (2),-,28675 (3),33016 (3),35330 (1),-,-,,,,
DNB Quota,OBC,Chhattisgarh,"District Hospital, Pandari, Raipur",Diploma in PAEDIATRICS - DCH (NBEMS),125000,27421 (1),32753 (1),32753 (1),-,-,-,-,-,-,,,,
DNB Quota,ST,Maharashtra,"Dr. Babasaheb Ambedkar Central Railway Hospital, Mumbai",DNB GENERAL MEDICINE,125000,27424 (1),27445 (1),27445 (1),-,30746 (1),37488 (1),-,-,-,,,,
DNB Quota,Open,Karnataka,"Taluk General Hospital, Byadagi, Haveri",Diploma in ENT - DLO (NBEMS),125000,27432 (1),45478 (1),45748 (1),57201 (1),27763 (1),39859 (1),44725 (1),-,-,,,,
All India Quota,EWS,Andhra Pradesh,"Kurnool Medical College, Kurnool",MD PATHOLOGY,15375,27435 (1),48173 (1),44373 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Maharashtra,"Bhaktivedanta Hospital & Research Institute, Thane",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,27447 (2),38119 (2),39649 (2),-,33198 (2),50476 (2),46240 (1),-,-,,,,
All India Quota,ST,Uttar Pradesh,"King George Medical University, Lucknow",MD RADIOTHERAPY,54700,27472 (1),27472 (1),27472 (1),-,-,-,-,-,-,,,,
DNB Quota,EWS,Rajasthan,"Government Medical College, Dungarpur",Diploma in OBG - DGO (NBEMS),125000,27485 (1),30998 (1),30998 (1),-,-,-,-,-,-,,,,
All India Quota,ST,Uttar Pradesh,"LLRM Medical College, Meerut",MD DERMATOLOGY,40000,27493 (1),33378 (1),33378 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Chhattisgarh,"District Hospital, Surajpur",Diploma in OBG - DGO (NBEMS),125000,27511 (1),33767 (1),21823 (1),-,-,-,-,-,-,,,,
All India Quota,SC,Uttar Pradesh,"Uttar Pradesh University of Medical Sciences (formerly UP Rural IMS&R), Etawah",MS OPHTHALMOLOGY,40000,27536 (1),35069 (1),35069 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,Rajasthan,"Government RDBP Jaipuria Hospital, Jaipur",DNB ANAESTHESIOLOGY,125000,27541 (1),26596 (1),31741 (1),34177 (1),-,-,-,-,-,,,,
DNB Quota,Open,Karnataka,"Aster CMI Hospital, Bangalore",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,27585 (1),37558 (1),37558 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,West Bengal,"Diamond Harbour Government Medical College & Hospital, Harindanga",Diploma in OBG - DGO (NBEMS),125000,27637 (1),25649 (1),25649 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Uttar Pradesh,"Yatharth Super Specialty Hospitals, Greater Noida",DNB ANAESTHESIOLOGY,125000,27674 (2),31150 (2),31150 (2),-,-,-,-,-,-,,,,
All India Quota,ST,Maharashtra,"Maharashtra Post Graduate Institute of Medical Education & Research, Nashik",MD PAEDIATRICS,143300,27699 (1),34955 (1),36025 (1),-,30517 (1),31918 (1),41962 (1),-,-,,,,
DNB Quota,Open,West Bengal,"Jagannath Gupta Institute of Medical Sciences & Hospital, Kolkata",DNB ANAESTHESIOLOGY,125000,27736 (1),30083 (1),36398 (1),37363 (1),20152 (1),26005 (1),24751 (1),-,-,,,,
DNB Quota,SC,Uttar Pradesh,"Ursala Horsman Memorial Hospital, Kanpur",DNB GENERAL MEDICINE,125000,27746 (1),27746 (1),27746 (1),-,-,-,-,-,-,,,,
All India Quota,EWS,West Bengal,"Nilratan Sircar Medical College, Kolkata",MD RADIOTHERAPY,12000,27751 (1),34151 (1),38949 (1),-,-,-,-,-,-,,,,
DNB Quota,EWS,Uttar Pradesh,"Shri Shiv Prasad Gupta Divisional District Hospital, Varanasi",Diploma in PAEDIATRICS - DCH (NBEMS),125000,27781 (1),34404 (1),34404 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Maharashtra,"Seth VC Gandhi & MA Vora Municipal General Hospital (Rajawadi Hospital), Mumbai",Diploma in ENT - DLO (NBEMS),125000,27782 (1),36846 (1),40453 (1),49896 (1),27548 (2),37125 (2),-,-,-,,,,
DNB Quota,SC,Gujarat,"GMERS Medical College, Sola, Ahmedabad",DNB GENERAL SURGERY,125000,27794 (1),32556 (1),35705 (1),-,-,-,34501 (1),-,-,,,,
DNB Quota,Open,Delhi,"Northern Railway Central Hospital, Delhi",DNB PATHOLOGY,125000,27807 (1),27807 (1),27807 (1),-,-,-,-,-,-,,,,
DNB Quota,EWS,Tamil Nadu,"Southern Railway Head Quarter Hospital, Chennai",DNB ENT,125000,27812 (1),25183 (1),32196 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Madhya Pradesh,"Baderia Metro Prime Multispecialty Hospital, Jabalpur",DNB ANAESTHESIOLOGY,125000,27827 (1),31586 (1),35001 (1),-,21995 (1),28428 (1),30369 (1),-,-,,,,
DNB Quota,EWS,Maharashtra,"Rajiv Gandhi Medical College & Chhatrapati Shivaji Maharaj Hospital, Thane",DNB ANAESTHESIOLOGY,125000,27852 (1),27852 (1),27094 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Tamil Nadu,"Tamil Nadu Government Multi Superspeciality Hospital, Chennai",DNB PATHOLOGY,125000,27857 (1),29011 (1),29011 (1),-,-,-,-,-,-,,,,
IPU,ST,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD PAEDIATRICS,41000,27888 (1),27888 (1),27888 (1),-,-,-,-,-,-,,,,
DNB Quota,SC,West Bengal,"Coochbehar Government Medical College & Hospital, Coochbehar",Diploma in RADIO DIAGNOSIS - DMRD (NBEMS),125000,27931 (1),27931 (1),27931 (1),-,-,-,-,-,-,,,,
DNB Quota,SC,Jharkhand,"Bokaro General Hospital, Bokaro",DNB PAEDIATRICS,125000,27955 (1),31555 (1),30306 (1),41009 (1),-,-,-,-,-,,,,
All India Quota,SC,Rajasthan,"RNT Medical College, Udaipur",MS ENT,12812,27958 (1),33936 (1),33240 (1),-,-,-,-,-,-,,,,
All India Quota,Open,Telangana,"Government Medical College, Nizamabad",MD PATHOLOGY,25000,27976 (2),36029 (2),45773 (2),-,24103 (1),37012 (1),-,-,-,,,,
DNB Quota,SC,Delhi,"Northern Railway Central Hospital, Delhi",DNB ORTHOPAEDICS,125000,27993 (1),33040 (1),32895 (1),-,-,-,-,-,-,,,,
All India Quota,SC,Chhattisgarh,"Rajmata Shrimati Devendra Kumari Singhdeo Government Medical College, Surguja",MS GENERAL SURGERY,20000,28003 (1),33924 (1),37288 (1),-,-,-,32874 (1),-,-,,,,
All India Quota,OBC,Delhi,"Hindu Rao Hospital, Delhi",Diploma in ANAESTHESIOLOGY,57600,28009 (1),25451 (1),30123 (1),-,-,-,-,-,-,,,,
DNB Quota,SC,Delhi,"Northern Railway Central Hospital, Delhi",DNB OBG,125000,28032 (1),28032 (1),28032 (1),-,21217 (1),26804 (1),29929 (1),-,-,,,,
DNB Quota,Open,Karnataka,"CSI Holdsworth Memorial Hospital, Mysore",Diploma in OBG - DGO (NBEMS),125000,28046 (2),29877 (2),29877 (2),-,-,-,-,-,-,,,,
DNB Quota,OBC,Chhattisgarh,"Late Shri Baliram Kashyap Memorial NDMC Government Medical College, Jagdalpur",Diploma in OBG - DGO (NBEMS),125000,28068 (1),27145 (1),27145 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Uttarakhand,"VCSG Government Medical College, Srinagar, Pauri Garhwal",Diploma in PAEDIATRICS - DCH (NBEMS),125000,28072 (1),28072 (1),28072 (1),-,24139 (1),26048 (1),28585 (1),34345 (1),39359 (1),,,,
All India Quota,ST,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD PAEDIATRICS,143300,28074 (1),20409 (1),32969 (1),-,16622 (1),16622 (1),-,-,-,,,,
DNB Quota,Open,Karnataka,"District Hospital, Tumakuru",Diploma in OBG - DGO (NBEMS),125000,28102 (1),28102 (1),28102 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,Haryana,"General Hospital, Panipat",Diploma in OBG - DGO (NBEMS),125000,28106 (1),28106 (1),32934 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,Chhattisgarh,"Pandurang Ramarao Dongaonkar District Hospital, Durg",Diploma in OBG - DGO (NBEMS),125000,28139 (1),28139 (1),28139 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,Punjab,"SBLS Civil Hospital, Jalandhar",DNB ANAESTHESIOLOGY,125000,28152 (1),33097 (1),35427 (1),-,-,-,-,-,-,,,,
DNB Quota,EWS,West Bengal,"Durgapur Steel Plant Hospital, Durgapur",DNB ANAESTHESIOLOGY,125000,28225 (1),34921 (1),34921 (1),-,-,-,-,-,-,,,,
All India Quota,SC,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda",MS GENERAL SURGERY,39000,28233 (1),31662 (1),36207 (1),-,-,-,-,-,-,,,,
All India Quota,SC,Telangana,"ESIC Medical College, Sanath Nagar, Hyderabad",MS ENT,250000,28241 (1),35182 (1),38296 (1),-,-,-,-,-,-,,,,
All India Quota,SC,Maharashtra,"Grant Medical College, Mumbai",MS ENT,143300,28254 (1),32858 (1),36548 (1),-,-,-,-,-,-,,,,
DNB Quota,OBC,West Bengal,"Deben Mahato (Sadar) Hospital, Purulia",DNB ANAESTHESIOLOGY,0,28271 (1),31368 (1),34840 (1),38734 (1),22290 (1),28851 (1),30298 (1),-,-,,,,
All India Quota,SC,Odisha,"VSS Institute of Medical Sciences & Research, Burla",MS OBG,38500,28278 (1),29373 (1),31227 (1),37196 (1),-,-,31513 (1),-,-,,,,
DNB Quota,SC,Bihar,"ESIC Medical College, Patna",DNB GENERAL MEDICINE,125000,28281 (1),29912 (1),29912 (1),-,-,-,-,-,-,,,,
All India Quota,Open,Jammu & Kashmir,"Government Medical College, Srinagar",MD PATHOLOGY,25000,28289 (2),38095 (2),38095 (2),-,15603 (1),24970 (1),34763 (2),43358 (1),90611 (2),,,,
DNB Quota,SC,Pondicherry,"Indira Gandhi Government General Hospital & PG Institute, Pondicherry",DNB OPHTHALMOLOGY,125000,28308 (1),28308 (1),28308 (1),-,-,-,-,-,-,,,,
DNB Quota,SC,Tamil Nadu,"Government Head Quarters Hospital, Perambalur",Diploma in OBG - DGO (NBEMS),125000,28309 (1),43096 (1),44391 (1),-,-,-,-,-,-,,,,
DNB Quota,Open,Uttar Pradesh,"Priya Hospital, Kanpur",Diploma in OBG - DGO (NBEMS),125000,28329 (2),33516 (2),37181 (2),-,-,-,-,-,-,,,,
All India Quota,Open,Delhi,"VP Chest Institute of Medical Sciences, Delhi",MD MICROBIOLOGY,57600,28365 (1),44971 (1),51582 (2),-,25297 (1),25297 (1),-,80157 (1),130622 (1),,,,
All India Quota,ST,Maharashtra,"Grant Medical College, Mumbai",MD PAEDIATRICS,143300,28407 (1),29900 (1),38605 (1),-,-,-,-,-,-,,,,
All India Quota,Open,Telangana,"Kakatiya Medical College, Warangal",MD COMMUNITY MEDICINE,25000,28422 (1),42110 (1),42110 (1),-,28891 (1),28090 (1),-,-,-,,,,
All India Quota,SC,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",MD RADIOTHERAPY,188000,28423 (1),28423 (1),28423 (1),-,-,-,-,-,-,,,,
DNB Quota,SC,West Bengal,"Divisional Railway Hospital, Asansol",DNB GENERAL MEDICINE,125000,28454 (1),31588 (1),35425 (1),-,-,-,-,-,-,,,,
All India Quota,Open,Andhra Pradesh,"ACSR Government Medical College, Nellore",MD PATHOLOGY,15375,28544 (3),-,-,-,-,-,-,-,-,,,,
DNB Quota,OBC,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi",DNB ANAESTHESIOLOGY,125000,28555 (1),29914 (1),34999 (1),34250 (1),-,-,-,-,-,,,,
