Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,EWS,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD RADIODIAGNOSIS,41000,205 (1),205 (1),205 (1),-,-,-,-,-,-,222 (1),222 (1),-,-
DU,Open,Delhi,"Maulana Azad Medical College, New Delhi",MD GENERAL MEDICINE,57600,165 (4),165 (4),126 (4),-,-,162 (3),162 (3),162 (3),-,250 (4),250 (4),-,-
All India Quota,Open,West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",MD GENERAL MEDICINE,12000,201 (3),201 (3),545 (3),-,-,165 (3),165 (3),165 (3),-,186 (4),327 (4),-,-
DU,EWS,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,321 (1),321 (1),1306 (1),-,-,5597 (1),5597 (1),5597 (1),-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Madras Medical College, Chennai",MD GENERAL MEDICINE,50000,320 (6),320 (6),748 (6),-,-,419 (7),396 (7),918 (7),-,189 (6),189 (6),-,-
All India Quota,Open,Rajasthan,"RNT Medical College, Udaipur",MD RADIODIAGNOSIS,12812,251 (1),251 (1),251 (1),-,-,448 (1),516 (1),516 (1),-,-,-,-,-
All India Quota,Open,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD RADIODIAGNOSIS,160000,319 (1),353 (1),353 (1),-,-,413 (1),413 (1),413 (1),-,-,-,-,-
All India Quota,EWS,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD RADIODIAGNOSIS,48226,279 (1),279 (1),279 (1),-,-,473 (1),577 (1),577 (1),-,435 (1),435 (1),-,-
All India Quota,OBC,Delhi,"GB Pant Institute of Postgraduate Medical Education & Research, New Delhi",MD RADIODIAGNOSIS,57600,244 (1),292 (1),292 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Karnataka,"Mysore Medical College & Research Institute, Mysore",MD RADIODIAGNOSIS,124150,294 (2),336 (2),443 (2),-,-,572 (3),728 (3),575 (3),-,357 (2),482 (2),1773 (2),3651 (1)
All India Quota,Open,Kerala,"Government Medical College, Thiruvananthapuram",MD GENERAL MEDICINE,69470,302 (3),610 (3),674 (3),-,-,455 (3),789 (3),999 (3),-,159 (4),159 (4),-,-
All India Quota,Open,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",MD RADIODIAGNOSIS,38000,324 (2),329 (2),481 (2),-,-,152 (2),152 (2),152 (2),-,324 (1),324 (1),-,-
All India Quota,OBC,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD GENERAL MEDICINE,41000,328 (3),328 (3),328 (3),-,-,305 (4),334 (4),506 (4),-,419 (4),419 (4),-,-
All India Quota,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD DERMATOLOGY,57600,245 (2),245 (2),245 (2),-,-,-,-,-,-,289 (1),289 (1),-,-
All India Quota,Open,Maharashtra,"Government Medical College, Nagpur",MD RADIODIAGNOSIS,143300,268 (4),319 (4),504 (4),-,-,238 (4),343 (4),467 (4),-,339 (1),458 (1),-,-
All India Quota,Open,Delhi,"Maulana Azad Medical College, New Delhi",MD PAEDIATRICS,57600,235 (3),996 (3),996 (3),-,-,389 (5),389 (5),389 (5),-,276 (4),276 (4),-,-
All India Quota,Open,Maharashtra,"Topiwala National Medical College, Mumbai",MD GENERAL MEDICINE,143300,290 (3),362 (3),362 (3),-,-,231 (3),361 (3),361 (3),-,463 (5),692 (5),1274 (2),-
All India Quota,Open,Rajasthan,"Dr. SN Medical College, Jodhpur",MD RADIODIAGNOSIS,12812,308 (1),308 (1),308 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD GENERAL MEDICINE,41000,264 (2),456 (2),456 (2),-,-,175 (1),175 (1),175 (1),-,312 (1),312 (1),-,-
All India Quota,Open,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD DERMATOLOGY,143300,304 (2),502 (2),295 (2),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Delhi,"Maulana Azad Medical College, New Delhi",MS GENERAL SURGERY,57600,315 (3),315 (3),857 (3),-,-,199 (3),199 (3),332 (3),-,392 (2),392 (2),-,-
All India Quota,Open,Jammu & Kashmir,"Sher-I-Kashmir Institute of Medical Sciences, Soura, Srinagar",MD RADIODIAGNOSIS,11000,254 (2),254 (2),254 (2),-,-,628 (4),628 (4),628 (4),-,761 (3),761 (3),-,-
All India Quota,Open,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD DERMATOLOGY,48226,295 (1),538 (1),538 (1),-,-,388 (2),418 (2),418 (2),-,403 (1),479 (1),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS GENERAL SURGERY,41000,258 (3),258 (3),258 (3),-,-,146 (3),146 (3),146 (3),-,303 (4),384 (4),-,-
All India Quota,Open,Maharashtra,"Topiwala National Medical College, Mumbai",MD RADIODIAGNOSIS,143300,273 (1),259 (1),447 (1),-,-,338 (2),467 (2),482 (2),1685 (1),272 (2),449 (2),-,-
All India Quota,OBC,Tamil Nadu,"Stanley Medical College, Chennai",MD RADIODIAGNOSIS,50000,280 (2),413 (2),413 (2),-,-,409 (2),409 (2),409 (2),-,332 (2),332 (2),-,-
All India Quota,EWS,Maharashtra,"Topiwala National Medical College, Mumbai",MD RADIODIAGNOSIS,143300,291 (1),291 (1),1103 (1),3356 (1),6691 (1),-,-,-,-,547 (1),547 (1),-,-
All India Quota,OBC,Delhi,"Maulana Azad Medical College, New Delhi",MD GENERAL MEDICINE,57600,314 (3),314 (3),345 (3),-,-,245 (3),253 (3),406 (3),-,202 (3),202 (3),-,-
IPU,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD RADIODIAGNOSIS,41000,267 (3),267 (3),267 (3),-,-,451 (3),451 (3),451 (3),-,1717 (5),1717 (5),-,-
All India Quota,Open,Gujarat,"BJ Medical College, Ahmedabad",MD GENERAL MEDICINE,30000,275 (6),378 (6),378 (6),-,-,312 (6),458 (6),458 (6),-,370 (5),370 (5),-,-
All India Quota,OBC,Uttar Pradesh,"King George Medical University, Lucknow",MD RADIODIAGNOSIS,54700,318 (1),382 (1),382 (1),-,-,756 (2),756 (2),1390 (2),-,551 (1),551 (1),-,-
All India Quota,OBC,Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",MD RADIODIAGNOSIS,125000,292 (1),549 (1),549 (1),-,-,650 (1),1025 (1),1025 (1),-,642 (1),754 (1),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD DERMATOLOGY,57600,243 (1),243 (1),243 (1),-,-,69 (1),69 (1),167 (1),-,396 (1),396 (1),-,-
All India Quota,EWS,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,248 (1),248 (1),248 (1),-,-,161 (1),161 (1),161 (1),-,351 (1),351 (1),-,-
All India Quota,OBC,Chandigarh,"Government Medical College, Chandigarh",MD RADIODIAGNOSIS,34500,256 (2),256 (2),256 (2),-,-,504 (1),762 (1),762 (1),-,643 (2),643 (2),-,-
DNB Quota,Open,Delhi,"Sir Ganga Ram Hospital, New Delhi",DNB RADIODIAGNOSIS,125000,300 (3),324 (3),317 (3),-,-,369 (3),440 (3),440 (3),-,393 (2),393 (2),-,-
DU,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD RADIODIAGNOSIS,57600,278 (3),278 (3),278 (3),-,-,630 (1),630 (1),630 (1),-,-,-,-,-
All India Quota,Open,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD GENERAL MEDICINE,124150,263 (6),263 (6),263 (6),-,-,339 (5),339 (5),438 (5),-,-,451 (6),505 (6),-
All India Quota,OBC,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD GENERAL MEDICINE,41000,266 (5),266 (5),266 (5),-,-,204 (5),204 (5),204 (5),-,-,298 (4),298 (4),-
DU,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD GENERAL MEDICINE,57600,356 (5),383 (5),383 (5),-,-,453 (4),453 (4),453 (4),-,-,508 (4),575 (4),-
DU,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD DERMATOLOGY,57600,383 (1),583 (1),583 (1),-,-,585 (2),585 (2),585 (2),-,-,-,-,-
All India Quota,EWS,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD GENERAL MEDICINE,143300,405 (1),405 (1),585 (1),-,-,366 (1),366 (1),366 (1),-,-,505 (1),442 (1),-
All India Quota,SC,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD GENERAL MEDICINE,143300,445 (1),445 (1),445 (1),-,-,5990 (2),5990 (2),5990 (2),-,-,2236 (2),2236 (2),-
All India Quota,OBC,Gujarat,"Medical College, Baroda",MD RADIODIAGNOSIS,30000,446 (1),1386 (1),1573 (1),-,-,1484 (1),2029 (1),1901 (1),-,-,1366 (1),1366 (1),-
All India Quota,Open,Haryana,"ESIC Medical College, Faridabad",MD RADIODIAGNOSIS,250000,352 (2),425 (2),425 (2),-,-,485 (2),606 (2),606 (2),-,-,465 (1),232 (1),-
All India Quota,Open,Gujarat,"BJ Medical College, Ahmedabad",MD DERMATOLOGY,30000,380 (1),380 (1),380 (1),-,-,503 (2),1125 (2),1465 (2),-,-,671 (2),743 (2),1613 (1)
All India Quota,OBC,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",MD RADIODIAGNOSIS,37500,382 (1),486 (1),486 (1),-,-,676 (1),676 (1),676 (1),-,-,687 (1),687 (1),-
All India Quota,OBC,Delhi,"Lady Hardinge Medical College, New Delhi",MD GENERAL MEDICINE,57600,424 (2),424 (2),424 (2),-,-,436 (3),480 (3),829 (3),-,-,470 (1),470 (1),-
All India Quota,Open,Telangana,"ESIC Medical College, Sanath Nagar, Hyderabad",MD RADIODIAGNOSIS,250000,404 (1),404 (1),404 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Rajasthan,"SMS Medical College, Jaipur",MD RADIODIAGNOSIS,11647,357 (1),357 (1),357 (1),-,-,537 (1),804 (1),804 (1),-,-,524 (1),790 (1),-
All India Quota,Open,West Bengal,"Government Medical College, Kolkata",MD GENERAL MEDICINE,12000,344 (5),480 (5),561 (5),-,-,493 (4),584 (4),584 (4),-,-,500 (4),686 (4),-
All India Quota,OBC,Kerala,"Government Medical College, Kozhikode",MD RADIODIAGNOSIS,69470,367 (2),367 (2),367 (2),-,-,450 (1),450 (1),450 (1),-,-,145 (1),145 (1),-
