State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Odisha,"Ashwini Hospital, Cuttack",Private,NBEMS,2006,3,150
Uttar Pradesh,"Autonomous State Society Medical College, Mirzapur",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,0,0
Tamil Nadu,"Aravind Eye Hospital & Postgraduate Institute of Ophthalmology, Theni",Private,NBEMS,1985,1,40
Maharashtra,"Ashoka Medicover Hospital, Nashik",Private,NBEMS,2015,6,225
West Bengal,"Burdwan Medical College, Burdwan",Govt,"West Bengal University of Health Sciences, Kolkata",1969,136,0
Uttar Pradesh,"Autonomous State Medical College, Ghazipur",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,1,300
Bihar,"Bihar State Institute of Mental Health & Allied Sciences (BIMHAS), Bhojpur",Govt,NBEMS,2018,3,200
Telangana,"Apollo Institute of Medical Sciences & Research, Hyderabad",Private,"Dr. NTR University of Health Sciences, Vijayawada",2012,53,570
Jharkhand,"Central Hospital, Ranchi",Public Sector,NBEMS,1965,6,200
Karnataka,"CSI Holdsworth Memorial Hospital, Mysore",Private,NBEMS,1906,0,280
Gujarat,"Apple Hospital, Surat",Private,NBEMS,1956,0,100
West Bengal,"Asansol District Hospital, Asansol",Govt,NBEMS,1980,16,300
Assam,"Cachar Cancer Hospital & Research Centre, Cachar",Private,NBEMS,1995,1,100
Tamil Nadu,"Chengalpattu Medical College, Chengalpattu",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1965,94,800
Haryana,"Civil Hospital, Bahadurgarh",Govt,NBEMS,2003,2,100
Punjab,"Deep Nursing Home & Children Hospital, Ludhiana",Private,NBEMS,1988,2,190
Assam,"Aditya Diagnostics & Hospital, Dibrugarh",Private,NBEMS,1998,5,210
Uttar Pradesh,"Autonomous State Medical College, Siddharthnagar",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,0,0
Karnataka,"Apollo Speciality Hospital, Jayanagar, Bangalore",Private,NBEMS,2005,0,150
Delhi,"Central Health Education Bureau, New Delhi",Govt,"Delhi University, Delhi",1956,20,0
Jammu & Kashmir,"District Hospital, Kulgam",Govt,NBEMS,2008,7,200
Karnataka,"ESIC Medical College, Gulbarga",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2013,64,500
Delhi,"Fortis Hospital, Shalimar Bagh",Private,NBEMS,2010,9,262
Maharashtra,"Government Medical College & Hospital, Baramati",Govt,"Maharashtra University of Health Sciences, Nashik",2019,15,300
Andhra Pradesh,"Andhra Hospital, Vijayawada",Private,NBEMS,2004,7,500
Tamil Nadu,"Arvind Eye Hospital, Coimbatore",Private,NBEMS,1997,6,450
Delhi,"BM Gupta Hospital, Uttam Nagar",Private,NBEMS,0,4,100
Kerala,"Chaithanya Eye Institute, Ernakulam",Private,NBEMS,2005,2,50
Gujarat,"Bankers Heart Institute, Vadodara",Private,NBEMS,2004,0,100
Kerala,"Bharath Hospital, Kottayam",Private,NBEMS,1969,5,175
Bihar,"BIG Apollo Spectra Hospitals, Patna",Private,NBEMS,2009,4,100
Karnataka,"Al Ameen Medical College, Bijapur",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1984,75,1040
West Bengal,"Apollo Multispecialty Hospitals Limited, Kolkata",Private,NBEMS,2003,36,700
Uttar Pradesh,"Charak Hospital & Research Center, Lucknow",Private,NBEMS,2003,10,150
Tamil Nadu,"Annapoorna Medical College & Hospital, Salem",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2011,10,762
Delhi,"Army College of Medical Sciences, New Delhi",Private,"Guru Gobind Singh Indraprastha University, Delhi",2008,0,997
Karnataka,"Basel Mission CSI Hospital, Gadag-Betgeri",Private,NBEMS,1945,4,150
Madhya Pradesh,"Bhagyoday Tirth Chikitsalay, Sagar",Private,NBEMS,1993,4,408
Kerala,"Al Azhar Medical College & Super Speciality Hospital, Thodupuzha",Private,"Kerala University of Health Sciences, Thrissur",2014,14,740
Gujarat,"Care Hospital of Medical Sciences (CIMS Hospital), Ahmedabad",Private,NBEMS,2010,2,350
Telangana,"Citi Neuro Centre, Hyderabad",Private,NBEMS,2005,0,150
Gujarat,"Apex Heart Institute, Ahmedabad",Private,NBEMS,2012,0,100
Andhra Pradesh,"Apollo Hospital, Kakinada",Private,NBEMS,2005,4,200
Andhra Pradesh,"Area Hospital, Narasaraopet",Govt,NBEMS,2019,2,150
Maharashtra,"Bai Jerbai Wadia Hospital for Children, Mumbai",Private,NBEMS,1928,3,525
West Bengal,"Calcutta National Medical College, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1948,145,1470
Kerala,"Ahalia Women & Childrens Hospital, Palakkad",Private,NBEMS,2009,4,100
Karnataka,"Akash Institute of Medical Sciences & Research Centre, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,97,760
West Bengal,"Barjora Super Specialty Hospital, Barjora",Govt,NBEMS,2019,1,200
Tamil Nadu,"Dhanvantri Critical Care Center, Erode",Private,NBEMS,2010,2,160
Maharashtra,"Divisional Railway Hospital, Thane",Public Sector,NBEMS,1955,2,150
Maharashtra,"Dr. DY Patil Medical College, Hospital & Research Centre, Pune",Deemed,"Dr. DY Patil University (Deemed), Pimpri, Pune",1995,243,1400
West Bengal,"District Hospital, Nadia",Govt,NBEMS,1956,8,550
Tamil Nadu,"Aravind Eye Hospitals & Postgraduate Institute of Ophthalmology, Madurai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",1976,20,1090
Madhya Pradesh,"Civil Hospital (Rani Durgawati Elgin), Jabalpur",Govt,NBEMS,1896,4,300
Haryana,"Command Hospital, Chandimandir",AFMS,"Kurukshetra University, Kurukshetra",0,11,658
Uttar Pradesh,"Command Hospital, Lucknow",AFMS,"King Georges Medical University, Lucknow",2011,18,900
Madhya Pradesh,"All is Well Multi Speciality Hospital, Mohammadpura",Private,NBEMS,2010,4,50
Andhra Pradesh,"Apollo Speciality Hospitals, Nellore",Private,NBEMS,0,1,180
Madhya Pradesh,"Bombay Hospital, Indore",Private,NBEMS,1950,18,350
Bihar,"Anugrah Narayan Magadh Medical College (ANMMC), Gaya",Govt,"Aryabhatta Knowledge University, Patna",1970,49,0
Telangana,"Asha Hospital, Hyderabad",Private,NBEMS,1998,4,96
West Bengal,"College of Medicine & Sagore Dutta Hospital, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",2011,46,450
