State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Kerala,"Pushpagiri Institute of Medical Sciences & Research Centre, Tiruvalla",Private,"Kerala University of Health Sciences, Thrissur",2002,69,1200
Delhi,"Rajan Babu TB Institute, Delhi",Govt,"Delhi University, Delhi",0,0,0
Rajasthan,"Rukmani Birla Hospital, Jaipur",Private,NBEMS,2016,6,230
Telangana,"RVM Institute of Medical Sciences & Research Centre, Siddipet",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2016,55,500
West Bengal,"North Bengal Medical College, Darjeeling",Govt,"West Bengal University of Health Sciences, Kolkata",1968,90,800
Telangana,"Prathima Relief Institute of Medical Sciences, Warangal",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2022,0,300
Telangana,"Rainbow Children's Medicare, Secundrabad",Private,NBEMS,2007,6,0
Chhattisgarh,"Ramkrishna Care Hospital, Raipur",Private,NBEMS,1997,11,359
Rajasthan,"Narayana Multispecialty Hospital, Jaipur",Private,NBEMS,2011,14,330
Tamil Nadu,"Panimalar Medical College Hospital & Research Institute, Chennai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2020,0,330
Odisha,"Rourkela Government Hospital, Rourkela",Govt,NBEMS,1960,6,450
Punjab,"Sarvodya Hospital, Jalandhar",Private,NBEMS,2017,0,102
Pondicherry,"Pondicherry Institute of Medical Sciences & Research, Pondicherry",Private,"Pondicherry University, Pondicherry",2000,63,640
Uttar Pradesh,"Rana Beni Madhav Singh (RBMS) District Hospital, Raebareli",Govt,NBEMS,0,5,0
Tamil Nadu,"Senthil Multi Speciality Hospital, Erode",Private,NBEMS,1987,2,115
Uttar Pradesh,"Rafi Ahmad Kidwai Memorial District Male Hospital, Barabanki",Govt,NBEMS,0,1,140
Madhya Pradesh,"Ratan Jyoti Netralaya Opthalmic Institute & Research Centre, Gwalior",Private,NBEMS,1996,1,20
Haryana,"Park Hospital, Gurgaon",Private,NBEMS,0,1,250
Uttar Pradesh,"Popular Medicare, Varanasi",Private,NBEMS,2012,12,450
Uttar Pradesh,"Pushpanjali Hospital & Research Centre, Agra",Private,NBEMS,2003,8,0
West Bengal,"South Eastern Railways Central Hospital, Kolkata",Public Sector,NBEMS,1957,11,300
Odisha,"Shanti Memorial Hospital, Cuttack",Private,NBEMS,0,0,100
Tamil Nadu,"Sree Balaji Medical College & Hospital, Chennai",Deemed,"Bharath Institute of Higher Education & Research (Deemed), Chennai",2003,157,1120
Gujarat,"Shree Mahavir Health & Medical Relief Society Hospital, Surat",Private,NBEMS,1978,2,0
Andhra Pradesh,"Sri Sathya Sai General Hospital, Anantapur",Private,NBEMS,1991,2,0
Karnataka,"St. Johns Medical College, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1963,133,1350
Chhattisgarh,"Shri Balaji Metro Hospital, Raigarh",Private,NBEMS,0,2,106
Chhattisgarh,"Shri Shankaracharya Institute of Medical Sciences, Bhilai",Private,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2016,57,200
Gujarat,"Smt. NHL Municipal Medical College, Ahmedabad",Govt-Private,"Gujarat University, Ahmedabad",1963,255,1000
Karnataka,"Sparsh Hospital, Bangalore",Private,NBEMS,2020,5,400
Karnataka,"Sri Chamundeshwari Medical College Hospital & Research Institute, Channapatna",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2023,0,605
Telangana,"Sri Krishna Children's Hospital, Hanamkonda",Govt-Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",0,1,100
Gujarat,"Rotary Eye Institute, Navasari",Private,NBEMS,1977,2,50
Madhya Pradesh,"Sardar Vallabh Bhai Patel District Hospital, Satna",Govt,NBEMS,1964,2,350
Karnataka,"SDM College of Medical Sciences & Hospital, Sattur, Dharwad",Private,"Shri Dharmasthala Manjunatheshwara University, Dharward",2003,99,850
Uttar Pradesh,"Netaji Subhash Chandra Bose District Hospital, Gorakhpur",Govt,NBEMS,0,7,0
West Bengal,"Orthopaedics Hospital, Howrah",Public Sector,NBEMS,1957,2,200
Tamil Nadu,"Rajan Eye Care Hospital, Chennai",Private,NBEMS,1992,5,30
Uttar Pradesh,"Rajkiya Allopathic Medical College, Bahraich",Govt,"King Georges Medical University, Lucknow",2019,22,300
Kerala,"Regional Cancer Centre, Thiruvananthapuram",Govt,"Kerala University of Health Sciences, Thrissur",1981,18,700
Telangana,"Renee Hospital, Karimnagar",Private,NBEMS,2007,6,0
Bihar,"Ruby Eye Hospital, Berhampur",Private,NBEMS,1994,2,20
Rajasthan,"Saket Hospital, Jaipur",Private,NBEMS,2005,7,100
West Bengal,"School of Tropical Medicine, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1914,27,162
Karnataka,"Nirmala Multi Speciality Hospital, Mysore",Private,NBEMS,2001,4,100
Jharkhand,"Palamu Medical College, Palamu",Govt,"Nilamber Pitamber University, Medininagar",2019,0,0
Maharashtra,"Postgraduate Institute of Swasthiyog Pratisthan, Miraj",Private,"Maharashtra University of Health Sciences, Nashik",1965,4,0
Tamil Nadu,"PSP Medical College Hospital & Research Institute, Kanchipuram",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2023,0,500
Uttar Pradesh,"Rajkiya Medical College, Jalaun, Orai",Govt,"King Georges Medical University, Lucknow",2013,35,300
Bihar,"Sadar Hospital, Sitamarhi",Govt,NBEMS,1952,7,200
Dadra & Nagar Haveli,"NAMO Medical Education & Research Institute, Silvassa",Govt,"Veer Narmad South Gujarat University, Surat",2019,26,650
Uttar Pradesh,"Neo Hospital, Noida",Private,NBEMS,2014,3,0
Rajasthan,"Rajiv Gandhi Government General Hospital, Alwar",Govt,NBEMS,2004,39,500
Maharashtra,"Sahyadri Super Speciality Hospital, Hadapsar, Pune",Private,NBEMS,1994,5,301
Chhattisgarh,"Petals Newborn & Children Hospital, Raipur",Private,NBEMS,2013,3,100
Uttar Pradesh,"Postgraduate Institute of Child Health, Noida",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",1988,11,200
Maharashtra,"Mumbai Port Trust Hospital, Mumbai",Govt,NBEMS,1873,2,241
Rajasthan,"National Institute of Medical Science & Research, Jaipur",Private,"NIMS University (Deemed), Jaipur",2004,206,750
Manipur,"Regional Institute of Medical Sciences, Imphal",Govt,"Manipur University, Imphal",1972,166,1254
Uttar Pradesh,"Regional Institute of Opthalmology, Sitapur",Govt,"King Georges Medical University, Lucknow",1935,15,0
Gujarat,"Sheth Vadilal Sarabhai General Hospital & Sheth Chinai Prasuti Hospital, Ahmedabad",Govt,NBEMS,1935,15,500
Karnataka,"Siddaganga Medical College & Research Institute, Tumakuru",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2022,0,634
Karnataka,"Shridevi Institute of Medical Sciences & Research Hospital, Tumkur",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2013,51,840
Andhra Pradesh,"Sri Sathya Sai Institute of Higher Medical Sciences, Anantapur",Private,NBEMS,1991,10,0
Tamil Nadu,"Sri Venkateswaraa Medical College Hospital & Research Institute, Chennai",Private,"Sri Venkateswaraa University, Chennai",2022,0,300
Tamil Nadu,"St. Isabels Hospital, Chennai",Private,NBEMS,1956,4,200
Telangana,"Renova Neelima Hospital, Hyderabad",Private,NBEMS,2009,1,0
Tamil Nadu,"Schizophrenia Research Foundation, Chennai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",1984,0,305
Assam,"Nagaon Medical College, Nagaon",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",2023,0,500
Odisha,"Padmini Care Hospital, Cuttack",Private,NBEMS,2023,2,400
Uttar Pradesh,"Sankara Eye Hospital, Kanpur",Private,NBEMS,2014,2,113
Karnataka,"Narayana Hrudayalaya Hospital (NH-Narayana Health City), Bangalore",Private,NBEMS,2014,55,606
Gujarat,"SAL Institute of Medical Sciences, Ahmedabad",Private,"Gujarat University, Ahmedabad",2023,0,700
Punjab,"SBLS Civil Hospital, Jalandhar",Govt,NBEMS,1952,22,470
Haryana,"Park Hospital, Panipat",Private,NBEMS,0,2,200
Uttar Pradesh,"Precision Urology Hospital, Lucknow",Private,NBEMS,2016,0,0
Telangana,"Rainbow Hospital for Women & Children, Hydernagar, Hyderabad",Private,NBEMS,2015,2,0
West Bengal,"RG Kar Medical College, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1916,174,1663
Telangana,"Mythri Hospital, Hyderabad",Private,NBEMS,2009,4,100
West Bengal,"Narayana Multispeciality Hospital, Howrah",Private,NBEMS,2006,6,450
Karnataka,"Narayana Netralaya, Bangalore",Private,NBEMS,2007,4,31
Bihar,"Netaji Subhas Medical College & Hospital, Amhara, Bihta, Patna",Private,"Aryabhatta Knowledge University, Patna",2020,50,500
Maharashtra,"Parbhani Medical College, Parbhani",Private,"Maharashtra University of Health Sciences, Nashik",2023,0,340
Tamil Nadu,"Public Health Centre, Chennai",Govt,NBEMS,1974,2,20
West Bengal,"Siliguri District Hospital, Darjeeling",Govt,NBEMS,1955,7,400
Kerala,"Sreenethra Eye Care, Thiruvananthapuram",Private,NBEMS,0,2,10
Telangana,"Star Hospital, Hyderabad",Private,NBEMS,2008,8,0
Uttarakhand,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",Private,"Shri Guru Ram Rai University, Dehradun",2006,162,1010
Andhra Pradesh,"Sri Ramachandra Childrens & Dental Hospital, Guntur",Private,NBEMS,2011,1,0
Maharashtra,"SRCC Children`s Hospital, Mumbai",Private,NBEMS,1948,5,207
Tamil Nadu,"Srinivasan Medical College & Hospital, Samayapuram",Private,"Dhanalakshmi Srinivasan University, Tiruchirappali",2021,6,330
Karnataka,"St. Philomena's Hospital, Bangalore",Private,NBEMS,1937,19,371
Tamil Nadu,"Rajah Muthiah Medical College, Annamalainagar",Govt,"Annamalai University, Chidambaram",1985,134,1400
Odisha,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Govt,"Berhampur University, Berhampur",1937,8,300
Karnataka,"Sarji Hospital, Shivamogga",Private,NBEMS,2014,6,120
Kerala,"Paalana Institute of Medical Sciences, Palakkad",Private,NBEMS,2014,7,300
Karnataka,"MVJ Medical College & Research Hospital, Bangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1997,83,770
West Bengal,"National Neuro Sciences Centre, Kolkata",Govt,NBEMS,2003,0,210
Andhra Pradesh,"Rich Hospital, Nellore",Private,NBEMS,1988,3,100
Rajasthan,"SDH Nathdwara, Nathdwara",Govt,NBEMS,2005,2,50
Uttar Pradesh,"MRA Medical College, Saddarpur",Govt,NBEMS,2015,18,300
Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur",Govt,"Rani Durgavati Vishwa Vidyalaya, Jabalpur",1955,187,1150
Goa,"North District Hospital- Asilo Hospital, Peddem",Govt,NBEMS,2011,3,250
Delhi,"National Institute of TB & Respiratory Diseases, New Delhi",Govt,NBEMS,1956,9,470
Haryana,"Ojas Super Speciality Hospital, Panchkula",Private,NBEMS,2013,2,100
Uttar Pradesh,"Pandit Deen Dayal Upadhyay Divisional District Hospital, Moradabad",Govt,NBEMS,1920,4,500
Bihar,"Paras HMRI Hospital, Patna",Private,NBEMS,2009,9,200
Uttar Pradesh,"Rani Durgavati Medical College, Banda",Govt,"King Georges Medical University, Lucknow",2016,45,300
Punjab,"Nasa Brain & Spine Centre, Jalandhar",Private,NBEMS,2009,3,180
Kerala,"NS Memorial Institute of Medical Sciences, Kollam",Govt,NBEMS,2000,15,350
Chhattisgarh,"Pt. JNM Medical College, Raipur",Govt,"Pt. Ravishankar Shukla University, Raipur",1963,146,500
Punjab,"Sacred Heart Hospital, Jalandhar",Private,NBEMS,1985,6,195
Maharashtra,"Saideep Healthcare & Research, Ahmednagar",Private,NBEMS,2012,5,260
Karnataka,"Sakra World Hospital, Bangalore",Private,NBEMS,2014,12,350
Andhra Pradesh,"Sankara Eye Hospital, Guntur",Private,NBEMS,2004,4,225
West Bengal,"Santiniketan Medical College, Bolpur",Private,"The West Bengal University of Health Sciences, Kolkata",2021,0,500
Bihar,"Shree Narayan Medical Institute & Hospital, Saharsa",Private,"Bhupendra Narayan Mandal University, Madhepura",2021,0,300
Andhra Pradesh,"Sri Kiran Institute of Ophthalmology, Kakinada",Private,NBEMS,1993,2,0
Uttar Pradesh,"Sri Sai Hospital, Moradabad",Private,NBEMS,2003,2,100
Punjab,"SGL Super Specialty Charitable Hospital, Jalandhar",Private,NBEMS,1995,7,223
Sikkim,"Sikkim Manipal Institute of Medical Sciences, Gangtok",Private,"Sikkim Manipal Institute of Medical Sciences, Gangtok",2000,35,690
Karnataka,"Sir CV Raman General Hospital, Bangalore",Govt,NBEMS,1965,6,500
Gujarat,"Sterling Hospital, Rajkot",Private,NBEMS,2009,0,190
Madhya Pradesh,"Shrimant Madhavrao Schindhiya District Hospital, Vidisha",Govt,NBEMS,1887,4,350
Tamil Nadu,"St. Joseph Hospital, Tamil Nadu",Private,NBEMS,1956,2,200
Tamil Nadu,"St. Peter's Medical College, Hosur",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,373
Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2006,70,600
Pondicherry,"Sri Venkateswaraa Medical College, Hospital & Research Centre, Pondicherry",Private,"Pondicherry University, Pondicherry",2007,141,1100
Gujarat,"Parul Institute of Medical Sciences & Research, Vadodara",Private,"Parul University, Vadodara",2016,90,750
Bihar,"Radha Devi Jageshwari Memorial Medical College & Hospital, Muzaffarpur",Private,"Aryabhatta Knowledge University, Patna",2021,0,300
West Bengal,"Ranaghat Sub Division Hospital, Anulia",Govt,NBEMS,1970,4,250
Karnataka,"Sankara Eye Hospital, Bangalore",Private,NBEMS,2008,3,175
West Bengal,"Sankara Nethralaya, Kolkata",Private,NBEMS,1976,4,100
Maharashtra,"Ozone Multispeciality Hospital & Critical Care Center, Akola",Private,NBEMS,2008,0,100
Telangana,"Paramitha Childrens Hospital, Hyderabad",Private,NBEMS,2004,2,100
Bihar,"Patna Medical College, Patna",Govt,"Aryabhatta Knowledge University, Patna",1925,201,1675
Assam,"Rahman Hospital, Guwahati",Private,NBEMS,2004,0,100
Madhya Pradesh,"Ram Krishna College Hospital & Research Centre, Bhopal",Private,"Madhya Pradesh Medical Science University, Jabalpur",2023,0,300
West Bengal,"Second Sight Southend Eye Centre, Dhopagachi",Private,NBEMS,1995,4,15
Maharashtra,"Seth Nandlal Dhoot Hospital, Aurangabad",Private,NBEMS,1998,0,218
Karnataka,"Narayana Hrudayalaya Surgical Hospital, Mysore",Private,NBEMS,2011,9,260
Punjab,"Satguru Partap Singh Hospital, Ludhiana",Private,NBEMS,2007,13,350
Delhi,"National Institute of Pathology (ICMR), Delhi",Govt,NBEMS,1965,2,0
Bihar,"Sadar Hospital, Ara Shivganj",Govt,NBEMS,0,2,0
Delhi,"Sehgal Neo Hospital, Delhi",Private,NBEMS,1991,3,100
Telangana,"Shadan Institute of Medical Sciences, Peerancheru",Private,"Dr. NTR University of Health Sciences, Vijayawada",2005,45,700
Tamil Nadu,"Sri Gokulam Hospital, Salem",Private,NBEMS,1988,2,340
Chhattisgarh,"Shree Narayana Hospital, Raipur",Private,NBEMS,0,4,200
Tamil Nadu,"SRM Institutes for Medical Sciences, Chennai",Private,NBEMS,2005,11,500
Maharashtra,"SMBT Institute of Medical Sciences & Research Centre, Nashik",Private,"Maharashtra University of Health Sciences, Nashik",2014,43,750
Karnataka,"Sparsh Hospital for Advanced Surgeries, Bangalore",Private,NBEMS,2011,1,200
Tamil Nadu,"Sri Chandra Sekara Hospital, Hosur",Private,NBEMS,2014,5,100
Karnataka,"Sri Devaraj URS Medical College, Kolar",Deemed,"Sri Devaraj Urs Academy of Higher Education and Research (Deemed), Kolar",1986,169,1148
Himachal Pradesh,"Pt. Jawahar Lal Nehru Government Medical College, Chamba",Govt,"Himachal Pradesh University, Shimla",2017,0,325
Maharashtra,"Radiation Medicine Centre (Rmc), Bhabha Atomic Research Centre, Mumbai",Public Sector,NBEMS,1963,0,390
Maharashtra,"Ruby Hall Clinic, Pune",Private,NBEMS,1959,23,600
Bihar,"Sadar Hospital, Kashipur",Govt,NBEMS,1965,2,200
Uttar Pradesh,"Sanjivini Hospital & Research Centre, Lucknow",Private,NBEMS,2000,2,100
Delhi,"Parmanand Special Surgery Hospital, Delhi",Private,NBEMS,2022,1,102
Karnataka,"Prakriya Hospitals, Bangalore",Private,NBEMS,2015,0,200
Maharashtra,"Rajiv Gandhi Medical College & Chhatrapati Shivaji Maharaj Hospital, Thane",Govt,"Maharashtra University of Health Sciences, Nashik",1992,46,500
Tamil Nadu,"Sankara Eye Hospital, Coimbatore",Private,NBEMS,1985,3,500
Telangana,"Prashanthi Hospital, Warangal",Private,NBEMS,2009,4,250
West Bengal,"Ruby General Hospital, Kolkata",Private,NBEMS,1995,7,250
Tamil Nadu,"Sandhya Hospital, Vellore",Private,NBEMS,0,1,100
Karnataka,"Sankara Eye Hospital, Shivamogga",Private,NBEMS,2008,3,225
Manipur,"Mothers Care Children Hospital & Research Centre, Imphal West",Private,NBEMS,2004,4,100
Kerala,"Muthoot Health Care, Pathanamthitta",Private,NBEMS,1988,9,300
Assam,"Nemcare Hospital, Guwahati",Private,NBEMS,2001,6,0
Andhra Pradesh,"Quality Care India Limited (Care Hospital), Visakhapatnam",Private,NBEMS,1997,2,0
Karnataka,"Sagar Hospital, Bangalore",Private,NBEMS,2002,14,200
Rajasthan,"Sahai Hospital & Research Centre, Tilak Nagar, Jaipur",Private,NBEMS,1975,2,120
Gujarat,"SAL Hospital & Medical Institute, Ahmedabad",Private,NBEMS,2001,2,230
Karnataka,"Sambharam Institute of Medical Sciences & Research, Kolar",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,0,750
Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",Govt,"Guru Gobind Singh Indraprastha University, Delhi",2013,2,832
Karnataka,"People Tree Hospital, Bangalore",Private,NBEMS,2013,2,0
Uttar Pradesh,"Raj Eye Hospital, Gorakhpur",Private,NBEMS,2001,2,25
Telangana,"NICE Hospital for Women, Newborn & Children, Hyderabad",Private,NBEMS,2002,3,60
Rajasthan,"Rajmata Vijaya Raje Scindia Medical College, Bhilwara",Govt,"Rajasthan University of Health Sciences, Jaipur",2019,0,500
Maharashtra,"RP Hospital & Research Institute, Parbhani",Private,NBEMS,0,11,860
Bihar,"Nalanda Medical College, Patna",Govt,"Aryabhatta Knowledge University, Patna",1970,104,1000
Maharashtra,"National Cancer Institute, Nagpur",Private,NBEMS,2002,2,470
Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Private,"Dr. NTR University of Health Sciences, Vijayawada",2012,66,750
Tamil Nadu,"Prashanth Hospitals, Velachery",Private,NBEMS,2013,7,500
Rajasthan,"Raj Jindal Hospital & Research Centre, Bharatpur",Private,NBEMS,2004,4,150
Andhra Pradesh,"Rohini Medicare, Warangal",Private,NBEMS,2004,2,50
Tamil Nadu,"Sankara Nethralaya, Haddows Road, Chennai",Private,NBEMS,1976,6,47
Karnataka,"Sorake Chandrashekar (SCS) Hospital, Mangalore",Private,NBEMS,1980,2,100
Tamil Nadu,"St. Peters Medical College, Hospital & Research Institute, Hosur",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,28,300
Kerala,"Specialists Hospital, Kochi",Private,NBEMS,1983,0,100
Tamil Nadu,"Shanmuga Hospital, Salem",Private,NBEMS,1981,5,150
Jammu & Kashmir,"Sher-I-Kashmir Institute of Medical Sciences, Soura, Srinagar",Govt,"Sher-I-Kashmir Institute of Medical Sciences, Soura, Srinagar",1988,157,0
Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi",Govt,"Himachal Pradesh University, Shimla",2017,21,500
Maharashtra,"Sir HN Reliance Hospital & Research Centre, Mumbai",Private,NBEMS,2014,28,345
Gujarat,"Smt. Rasilaben Sevantilal Shah Venus Hospital, Surat",Private,NBEMS,1912,1,162
Maharashtra,"SPAN Hospital, Solapur",Private,NBEMS,2016,4,40
Tamil Nadu,"Sri Narayani Hospital & Research Centre, Vellore",Private,NBEMS,2005,6,200
Karnataka,"Sri Sathya Sai Institute of Higher Medical Sciences, Bangalore",Private,NBEMS,2001,8,333
Andhra Pradesh,"SAI Hospital, Rajamahendravaram",Private,NBEMS,2005,1,150
Maharashtra,"Post Graduate Institute of Medical Sciences, Navi Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",2022,22,540
Andhra Pradesh,"Rural Development Trust Hospital, Anantapur",Private,NBEMS,1990,16,220
Rajasthan,"Sardar Patel Medical College, Bikaner",Govt,"Rajasthan University of Health Sciences, Jaipur",1959,197,0
Odisha,"SCB Medical College, Cuttack",Govt,"Utkal University, Bhubaneswar",1944,232,2137
Gujarat,"NM Virani Wockhardt Hospital, Rajkot",Private,NBEMS,2006,1,0
Uttar Pradesh,"Pandit Deen Dayal Upadhyay Government Hospital, Varanasi",Govt,NBEMS,1970,3,640
Gujarat,"Narayana Hrudayalaya, Rakhial",Private,NBEMS,2000,2,190
Uttar Pradesh,"National Capital Region Institute of Medical Sciences, Meerut",Private,"Chaudhary Charan Singh University, Meerut",2018,63,500
Uttar Pradesh,"PL Sharma District Hospital, Meerut City",Govt,NBEMS,0,3,0
Gujarat,"Rhythm Heart Institute, Vadodara",Private,NBEMS,2013,0,50
Maharashtra,"NKP Salve Institute of Medical Sciences & Research Centre, Nagpur",Private,"Maharashtra University of Health Sciences, Nashik",1990,141,1130
Haryana,"QRG Medicare, Faridabad",Private,NBEMS,0,8,325
Bihar,"Rahmania Medical Centre, Motihari",Private,NBEMS,2005,3,50
Karnataka,"Rainbow Children's Hospital, Marathahalli, Bangalore",Private,NBEMS,2015,5,200
Chhattisgarh,"Raipur Institute of Medical Sciences (RIMS), Raipur",Private,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2016,63,650
Tamil Nadu,"Salem Polyclinic, Salem",Private,NBEMS,1957,7,250
Telangana,"Samraksha Super Speciality Hospital, Warangal",Private,NBEMS,0,1,150
Andhra Pradesh,"Prashanth Hospital, Vijayawada",Private,NBEMS,1989,0,0
Rajasthan,"RNT Medical College, Udaipur",Govt,"Rajasthan University of Health Sciences, Jaipur",1961,220,1000
Delhi,"Sant Parmanand Hospital, Delhi",Private,NBEMS,1997,2,153
Maharashtra,"Sevasadan Lifeline Superspeciality Hospital, Miraj",Private,NBEMS,2017,2,100
Jammu & Kashmir,"Shree Mata Vaishno Devi Narayana Super speciality Hospital, Reasi",Private,NBEMS,2016,2,322
Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, Chennai",Deemed,"Sri Ramachandra Institute of Higher Education & Research(Deemed), Chennai",1985,233,1600
Maharashtra,"SRTR Medical College, Ambajogai",Govt,"Maharashtra University of Health Sciences, Nashik",1974,93,800
Telangana,"Sri Sri Holistic Hospital, Hydernagar",Private,NBEMS,2012,2,0
Manipur,"Shija Academy of Health Sciences, Imphal",Private,"Manipur University, Imphal",2021,28,350
Haryana,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",2012,0,500
Karnataka,"Sri Siddhartha Medical College, Tumkur",Deemed,"Sri Siddhartha Academy of Higher Education, Tumkur",1988,92,970
Delhi,"Shroff Eye Centre, Delhi",Private,NBEMS,1914,2,15
Pondicherry,"Sri Manakula Vinayagar Medical College & Hospital, Pondicherry",Private,"Pondicherry University, Pondicherry",2006,121,1180
Kerala,"St. Gregorios Medical Mission Hospital, Pathanamthitta",Private,NBEMS,1975,5,250
Rajasthan,"Shri Ramkaran Joshi Government District Hospital, Dausa",Govt,NBEMS,1999,2,200
Maharashtra,"Shri Vasant Rao Naik Government Medical College, Yavatmal",Govt,"Maharashtra University of Health Sciences, Nashik",1989,64,765
Uttar Pradesh,"SN Medical College, Agra",Govt,"Dr BR Ambedkar University, Agra",1939,195,976
Delhi,"Shanti Mukund Hospital, Delhi",Private,NBEMS,1995,0,200
Odisha,"Sri Jagannath Medical College & Hospital, Puri",Govt,"Utkal University, Bhubaneswar",2021,18,380
Chhattisgarh,"Sri Sathya Sai Sanjeevani Hospital, Atal Nagar",Private,NBEMS,1970,0,100
Gujarat,"Shri BD Mehta Mahavir Heart Institute, Surat",Private,NBEMS,1978,0,110
Chhattisgarh,"Shahid Mahendra Karma Memorial Government Hospital, Jagdalpur",Govt,NBEMS,2018,15,500
Delhi,"Shri Dada Dev Matri Avum Shishu Chikitsalaya, Delhi",Govt,NBEMS,0,7,112
Kerala,"Sree Chitra Thirunal Institute for Medical Science, Trivandrum",Govt,"Sree Chitra Thirunal Institute for Medical Science (Statutory Autonomous), Trivandrum",1976,0,253
Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule",Govt,"Maharashtra University of Health Sciences, Nashik",1988,58,545
Rajasthan,"Shri Kalyan Government Medical College, Sikar",Govt,"Rajasthan University of Health Sciences, Jaipur",2020,0,500
Karnataka,"South Western Railway Central Hospital, Hubballi",Public Sector,NBEMS,1962,8,133
Madhya Pradesh,"Sri Aurobindo Medical College & Postgraduate Institute, Indore",Private,"Sri Aurobindo University, Indore",2003,231,1400
Maharashtra,"SSPM Medical College & Lifetime Hospital, Padave, Sindhudurg",Private,"Maharashtra University of Health Sciences, Nashik",2020,0,2400
Gujarat,"SIDS Hospital & Research Center, Surat",Private,NBEMS,2015,0,0
Kerala,"Sree Sudheendra Medical Mission, Cochin",Private,NBEMS,1971,0,200
Telangana,"St. Theresa's Hospital, Hyderabad",Private,NBEMS,1960,6,300
Maharashtra,"SL Raheja Hospital, Mumbai",Private,NBEMS,1981,3,170
Rajasthan,"Shri Jawahir Hospital, Jaisalmer",Govt,NBEMS,1941,0,150
Chhattisgarh,"Shri Aurobindo Medical Research Centre, Raipur",Private,NBEMS,0,2,50
Kerala,"Sree Narayana Institute of Medical Sciences, Ernakulam",Private,"Kerala University of Health Sciences, Thrissur",2009,14,560
Uttar Pradesh,"State Medical College & Pt. Ram Prasad Bismil Memorial Hospital, Shahjahanpur",Govt,NBEMS,2021,21,312
Uttar Pradesh,"Siddh Multi Specialty Hospital, Moradabad",Private,NBEMS,2016,6,100
West Bengal,"Sree Balaram Seva Mandir SG Hospital, Khardah",Govt,NBEMS,1971,2,200
Uttar Pradesh,"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",Private,"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",2005,128,0
Karnataka,"SNR District Hospital, Kolar",Govt,NBEMS,1937,15,550
Karnataka,"Sri Sathya Sai Sarla Memorial Hospital, Muddenahalli",Private,NBEMS,2018,12,300
Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",2012,52,645
Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",Deemed,"SRM Institute of Science & Technology (Formerly SRM University), Chennai",2005,164,0
Karnataka,"Shri Balaji Institute of Neuro Sciences & Trauma, Hubli",Private,NBEMS,2012,1,104
Uttar Pradesh,"SKS Hospital Medical College & Research Centre, Mathura",Private,"Atal Bihari Vajpayee Medical University, Lucknow",2023,0,0
Gujarat,"Shantabaa Medical College, Amreli",Private,"Saurashtra University, Rajkot",2019,12,500
Gujarat,"Shrimad Rajchandra Hospital & Research Centre, Dharampur",Private,NBEMS,2003,6,0
West Bengal,"Siliguri Greater Lions Eye Hospital, Jalpaiguri",Govt,NBEMS,1954,1,80
Rajasthan,"SK Hospital, Sikar",Govt,NBEMS,1995,45,100
Kerala,"Sree Uthradom Thirunal Hospital, Trivandrum",Private,NBEMS,1987,6,198
