Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
1,1212,Karnataka,"Gadag IMS, Gadag",GENERAL MEDICINE,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",Info Not Available,
1,1213,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,AIQ,GEN,"?27,300","?55,200",2,"?20,00,000",2185,
1,1214,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,SC,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1215,Uttar Pradesh,"LLRM Med Coll, Meerut",GENERAL MEDICINE,AIQ,GEN,"?24,000","?1,10,646",2,"?40,00,000",1090,
1,1216,Karnataka,"Bangalore Med Coll, Bangalore",OBG,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",1993,
1,1217,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1737,
1,1218,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 56,250",0,? 0,600,
1,1219,Karnataka,"Mandya IMS, Mandya",DERMATOLOGY,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",910,
1,1220,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,AIQ,GEN,"?30,000","? 60,823",0,?0,1170,
1,1221,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL SURGERY,AIQ,GEN,"?48,226","?1,12,054",0,? 0,2424,
1,1222,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,AIQ,OBC,"?15,000","? 67,032",1,"? 2,000,000",1200,
1,1223,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",7285,
1,1224,Maharashtra,"MPGIMER, Nashik",RADIO DIAGNOSIS,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",560,
1,1225,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,AIQ,GEN,"?12,000","? 61,634",3,"?30,00,000",1470,
1,1226,Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 48,000",0,? 0,1650,
1,1227,Bihar,"Nalanda Med Coll, Patna",RADIO DIAGNOSIS,AIQ,GEN,"?9,000","? 82,000",2,"?25,00,000",750,
1,1228,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL MEDICINE,AIQ,GEN,"?24,000","?1,10,646",2,"?40,00,000",2083,
1,1229,Kerala,"Medical College, Trivandrum",PAEDIATRICS,AIQ,GEN,"?69,470","? 57,876",1,"?50,00,000",2126,
